Name,Age,Height,Weight,Position,Apps,Total minutes,Scored goals,Assists,Total shots,Shots on goal,Duels total,Duels won,Dribble attempts,Dribbles succ.,Total duels,Total passes,Key passes,Tackles,Blocks,Interceptions,Total saves,Goals conceded,Fouls drawn,Fouls committed,Yellow cards,Red cards for 2nd yellow,Straight red cards,Penalties won,Penalties scored,Penalties missed,Penalties committed,Penalties saved
S. Berge,24,195 cm,96 kg,Defender,30.0,2700.0,0.0,1.0,13.0,4.0,258.0,124.0,35.0,20.0,258.0,1185.0,17.0,59.0,12.0,22.0,,0.0,10.0,33.0,6.0,0.0,0.0,,0.0,0.0,,
Rui Patrício,34,190 cm,84 kg,Defender,13.0,1007.0,1.0,,3.0,1.0,101.0,56.0,5.0,3.0,101.0,447.0,4.0,20.0,10.0,13.0,,0.0,2.0,13.0,1.0,0.0,0.0,,0.0,0.0,,
André Gomes,29,188 cm,84 kg,Defender,30.0,2583.0,3.0,1.0,12.0,5.0,244.0,144.0,4.0,4.0,244.0,827.0,7.0,27.0,35.0,38.0,,0.0,8.0,30.0,4.0,0.0,0.0,,0.0,0.0,,
C. Clark,33,185 cm,88 kg,Midfielder,18.0,1248.0,0.0,,3.0,,127.0,55.0,5.0,2.0,127.0,384.0,5.0,33.0,6.0,16.0,,0.0,7.0,30.0,2.0,0.0,1.0,,0.0,0.0,,
J. Egan,30,185 cm,75 kg,Midfielder,33.0,1828.0,2.0,1.0,16.0,10.0,197.0,62.0,56.0,24.0,197.0,478.0,26.0,15.0,4.0,10.0,,0.0,7.0,29.0,1.0,0.0,0.0,,0.0,0.0,,
J. Fleck,31,170 cm,72 kg,Defender,20.0,1261.0,0.0,1.0,3.0,3.0,139.0,70.0,10.0,6.0,139.0,472.0,5.0,30.0,9.0,12.0,,0.0,21.0,26.0,1.0,0.0,0.0,,0.0,0.0,,
O. Norwood,31,180 cm,75 kg,Midfielder,16.0,1319.0,0.0,1.0,10.0,,209.0,126.0,25.0,19.0,209.0,530.0,6.0,38.0,3.0,35.0,,0.0,28.0,25.0,4.0,0.0,0.0,,0.0,0.0,,
B. Sharp,36,175 cm,70 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
J. Bogle,22,,,Attacker,27.0,1124.0,0.0,,15.0,8.0,148.0,43.0,15.0,8.0,148.0,207.0,11.0,8.0,2.0,5.0,,0.0,13.0,18.0,1.0,0.0,0.0,,0.0,0.0,,
J. Robinson,29,180 cm,67 kg,Defender,28.0,2302.0,2.0,3.0,25.0,11.0,321.0,163.0,81.0,47.0,321.0,1854.0,45.0,68.0,2.0,41.0,,0.0,18.0,36.0,5.0,0.0,1.0,,0.0,0.0,,
B. Osborn,28,176 cm,75 kg,Attacker,31.0,1930.0,13.0,2.0,40.0,29.0,282.0,121.0,36.0,22.0,282.0,514.0,23.0,18.0,1.0,12.0,,0.0,54.0,37.0,3.0,0.0,0.0,,3.0,0.0,,
O. McBurnie,26,188 cm,79 kg,Midfielder,15.0,1119.0,1.0,1.0,7.0,2.0,117.0,56.0,32.0,20.0,117.0,436.0,13.0,16.0,2.0,4.0,,0.0,4.0,14.0,4.0,0.0,0.0,,1.0,0.0,,
M. Lowe,25,175 cm,74 kg,Goalkeeper,37.0,3330.0,0.0,,,,11.0,9.0,,,11.0,662.0,,,,1.0,100.0,51.0,1.0,,1.0,0.0,0.0,,0.0,0.0,,0.0
T. Doyle,21,172 cm,,Midfielder,28.0,1568.0,0.0,1.0,9.0,3.0,236.0,99.0,48.0,31.0,236.0,876.0,15.0,35.0,1.0,10.0,,0.0,14.0,35.0,3.0,0.0,0.0,,0.0,0.0,,
R. Khadra,21,,,Defender,22.0,1893.0,1.0,,6.0,2.0,174.0,108.0,8.0,4.0,174.0,790.0,2.0,24.0,20.0,29.0,,0.0,11.0,16.0,3.0,0.0,0.0,,0.0,0.0,,
K. Gordon,20,,,Defender,31.0,2630.0,0.0,1.0,12.0,3.0,233.0,131.0,,,233.0,1124.0,3.0,41.0,31.0,41.0,,0.0,10.0,29.0,7.0,0.0,1.0,,0.0,0.0,,
D. Jebbison,19,190 cm,69 kg,Midfielder,31.0,2577.0,0.0,2.0,11.0,5.0,278.0,121.0,54.0,30.0,278.0,1138.0,33.0,51.0,4.0,28.0,,0.0,28.0,33.0,4.0,0.0,0.0,,0.0,0.0,,
Rúben Dias,25,186 cm,76 kg,Midfielder,32.0,2226.0,0.0,,8.0,1.0,177.0,74.0,4.0,2.0,177.0,1403.0,32.0,49.0,12.0,36.0,,0.0,8.0,26.0,6.0,0.0,0.0,,0.0,0.0,,
N. Otamendi,34,183 cm,81 kg,Attacker,16.0,730.0,3.0,,9.0,6.0,107.0,35.0,12.0,5.0,107.0,112.0,4.0,5.0,,,,0.0,14.0,14.0,1.0,0.0,0.0,,2.0,0.0,,
İ. Gündoğan,32,180 cm,80 kg,Defender,16.0,1109.0,2.0,,13.0,7.0,164.0,71.0,31.0,11.0,164.0,312.0,4.0,33.0,4.0,14.0,,0.0,9.0,15.0,2.0,0.0,0.0,,0.0,0.0,,
Bernardo Silva,28,173 cm,64 kg,Defender,11.0,875.0,0.0,1.0,5.0,,100.0,55.0,4.0,3.0,100.0,423.0,1.0,14.0,4.0,9.0,,0.0,6.0,10.0,3.0,0.0,0.0,,0.0,0.0,,
Diogo Dalot,23,183 cm,76 kg,Midfielder,24.0,1605.0,1.0,,5.0,4.0,164.0,79.0,26.0,19.0,164.0,743.0,17.0,33.0,3.0,12.0,,0.0,15.0,10.0,1.0,0.0,0.0,,0.0,0.0,,
K. Havertz,23,188 cm,83 kg,Attacker,23.0,1316.0,1.0,,24.0,13.0,366.0,184.0,13.0,4.0,366.0,440.0,15.0,15.0,3.0,6.0,,0.0,26.0,24.0,2.0,0.0,0.0,,0.0,0.0,,
T. Minamino,27,174 cm,68 kg,Defender,8.0,552.0,0.0,,1.0,1.0,91.0,41.0,11.0,7.0,91.0,172.0,2.0,26.0,4.0,5.0,,0.0,3.0,10.0,1.0,0.0,0.0,,0.0,0.0,,
T. Werner,26,180 cm,75 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Bruno Fernandes,28,179 cm,69 kg,Midfielder,1.0,4.0,0.0,,,,1.0,,,,1.0,1.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Pedro Neto,22,173 cm,69 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
A. Rüdiger,29,190 cm,85 kg,Attacker,4.0,284.0,1.0,,3.0,2.0,54.0,17.0,4.0,2.0,54.0,36.0,1.0,6.0,1.0,1.0,,0.0,4.0,6.0,0.0,0.0,0.0,,0.0,0.0,,
Rúben Neves,25,180 cm,80 kg,Defender,32.0,2845.0,1.0,,13.0,6.0,189.0,111.0,8.0,6.0,189.0,2713.0,3.0,24.0,23.0,35.0,,0.0,20.0,21.0,4.0,0.0,0.0,,0.0,0.0,,
Diogo Jota,26,178 cm,68 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
A. Jahanbakhsh,29,180 cm,76 kg,Midfielder,28.0,2031.0,13.0,2.0,43.0,22.0,164.0,89.0,39.0,27.0,164.0,1714.0,42.0,25.0,4.0,20.0,,0.0,26.0,8.0,1.0,0.0,0.0,,1.0,1.0,,
M. Ryan,30,184 cm,82 kg,Midfielder,26.0,2071.0,2.0,6.0,22.0,13.0,233.0,98.0,65.0,41.0,233.0,1372.0,27.0,26.0,1.0,17.0,,0.0,18.0,17.0,5.0,0.0,0.0,,0.0,0.0,,
R. Jiménez,31,187 cm,76 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
T. Kongolo,28,188 cm,70 kg,Midfielder,27.0,1521.0,4.0,3.0,27.0,16.0,199.0,80.0,37.0,19.0,199.0,766.0,18.0,18.0,,4.0,,0.0,15.0,27.0,2.0,0.0,0.0,,0.0,0.0,,
E. Martínez,30,195 cm,88 kg,Midfielder,10.0,717.0,2.0,,4.0,3.0,39.0,16.0,7.0,7.0,39.0,138.0,,4.0,,2.0,,0.0,2.0,4.0,1.0,0.0,0.0,,0.0,0.0,,
Vitinha,22,172 cm,64 kg,Midfielder,9.0,286.0,1.0,,4.0,3.0,39.0,16.0,7.0,7.0,39.0,138.0,,4.0,,2.0,,0.0,2.0,4.0,0.0,0.0,0.0,,0.0,0.0,,
A. Tchaptchet,21,193 cm,95 kg,Attacker,35.0,2607.0,6.0,8.0,59.0,32.0,264.0,91.0,80.0,29.0,264.0,779.0,36.0,20.0,1.0,8.0,,0.0,32.0,28.0,2.0,0.0,0.0,,0.0,0.0,,
D. Sánchez,26,187 cm,81 kg,Midfielder,37.0,3109.0,18.0,12.0,84.0,51.0,364.0,147.0,45.0,23.0,364.0,2109.0,97.0,57.0,,26.0,,0.0,52.0,43.0,6.0,0.0,0.0,,9.0,1.0,,
Thiago Silva,38,183 cm,79 kg,Attacker,31.0,2559.0,5.0,6.0,42.0,21.0,325.0,141.0,129.0,64.0,325.0,1019.0,61.0,16.0,2.0,31.0,,0.0,42.0,24.0,4.0,0.0,0.0,,0.0,0.0,,
E. Cavani,35,184 cm,71 kg,Defender,19.0,1710.0,1.0,,11.0,7.0,130.0,87.0,6.0,3.0,130.0,1524.0,4.0,31.0,10.0,18.0,,0.0,11.0,16.0,0.0,0.0,0.0,,0.0,0.0,,
Alisson,30,193 cm,91 kg,Midfielder,36.0,2680.0,5.0,1.0,45.0,16.0,280.0,138.0,15.0,10.0,280.0,1979.0,33.0,86.0,11.0,65.0,,0.0,17.0,46.0,8.0,0.0,0.0,,3.0,0.0,,
Fabinho,29,188 cm,78 kg,Attacker,19.0,1112.0,9.0,,41.0,26.0,198.0,67.0,43.0,21.0,198.0,426.0,13.0,12.0,,5.0,,0.0,20.0,25.0,2.0,0.0,0.0,,0.0,0.0,,
Roberto Firmino,31,181 cm,76 kg,Attacker,0.0,0.0,0.0,,41.0,26.0,198.0,67.0,43.0,21.0,198.0,426.0,13.0,12.0,,5.0,,0.0,20.0,25.0,0.0,0.0,0.0,,0.0,0.0,,
Alex Telles,30,181 cm,71 kg,Attacker,21.0,520.0,0.0,1.0,10.0,3.0,70.0,29.0,17.0,11.0,70.0,231.0,10.0,9.0,,8.0,,0.0,4.0,7.0,3.0,0.0,0.0,,0.0,0.0,,
James David Rodríguez Rubio,31,180 cm,75 kg,Goalkeeper,3.0,270.0,0.0,,,,2.0,1.0,,,2.0,47.0,1.0,,,,8.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
Ederson,29,188 cm,86 kg,Goalkeeper,11.0,990.0,0.0,,,,2.0,1.0,,,2.0,47.0,1.0,,,,8.0,2.0,,,1.0,0.0,0.0,,0.0,0.0,,0.0
Fred,29,169 cm,64 kg,Attacker,10.0,825.0,4.0,,22.0,10.0,107.0,44.0,21.0,10.0,107.0,259.0,5.0,3.0,,8.0,,0.0,17.0,9.0,0.0,0.0,0.0,,0.0,0.0,,
L. Torreira,26,166 cm,65 kg,Defender,1.0,90.0,0.0,,,,10.0,7.0,,,10.0,44.0,,3.0,,2.0,,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,
Raphinha,26,176 cm,68 kg,Goalkeeper,38.0,3420.0,0.0,,,,25.0,22.0,,,25.0,1133.0,2.0,3.0,,2.0,142.0,46.0,8.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0
G. Lo Celso,26,177 cm,68 kg,Goalkeeper,0.0,0.0,0.0,,,,25.0,22.0,,,25.0,1133.0,2.0,3.0,,2.0,142.0,46.0,8.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0
M. Samatta,30,183 cm,77 kg,Midfielder,19.0,511.0,0.0,1.0,6.0,4.0,40.0,20.0,12.0,8.0,40.0,330.0,12.0,7.0,,3.0,,0.0,5.0,8.0,0.0,0.0,0.0,,0.0,0.0,,
M. Almirón,28,174 cm,63 kg,Defender,1.0,12.0,0.0,,,,1.0,1.0,,,1.0,1.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
S. Alzate,24,180 cm,75 kg,Defender,18.0,1486.0,0.0,,1.0,,166.0,98.0,1.0,1.0,166.0,1026.0,1.0,40.0,13.0,14.0,,0.0,8.0,22.0,1.0,0.0,0.0,,0.0,0.0,,
N. Kebano,30,170 cm,65 kg,Defender,23.0,1938.0,2.0,,9.0,4.0,135.0,85.0,3.0,2.0,135.0,1940.0,5.0,20.0,13.0,33.0,,0.0,16.0,13.0,4.0,1.0,0.0,,0.0,0.0,,
Pablo Hernández Domínguez,37,173 cm,64 kg,Attacker,26.0,1368.0,10.0,3.0,27.0,15.0,104.0,41.0,12.0,6.0,104.0,336.0,14.0,12.0,,6.0,,0.0,13.0,21.0,4.0,0.0,0.0,,0.0,0.0,,
F. Pellistri,21,175 cm,69 kg,Goalkeeper,33.0,2970.0,1.0,,1.0,1.0,25.0,22.0,2.0,2.0,25.0,989.0,,3.0,,2.0,84.0,32.0,5.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0
M. Caicedo,21,178 cm,73 kg,Midfielder,30.0,2565.0,0.0,,8.0,1.0,265.0,146.0,11.0,7.0,265.0,2106.0,4.0,58.0,10.0,44.0,,0.0,27.0,29.0,6.0,0.0,0.0,,0.0,0.0,,
X. Shaqiri,31,169 cm,72 kg,Attacker,36.0,2852.0,9.0,7.0,57.0,34.0,321.0,130.0,83.0,59.0,321.0,1301.0,44.0,33.0,5.0,11.0,,0.0,16.0,22.0,2.0,0.0,0.0,,0.0,0.0,,
Eric García,21,182 cm,76 kg,Defender,9.0,692.0,0.0,2.0,4.0,1.0,72.0,36.0,7.0,3.0,72.0,458.0,12.0,14.0,2.0,16.0,,0.0,4.0,4.0,0.0,0.0,0.0,,0.0,0.0,,
Dani Ceballos,26,179 cm,70 kg,Midfielder,23.0,1776.0,6.0,4.0,28.0,18.0,220.0,108.0,48.0,34.0,220.0,1032.0,41.0,28.0,,15.0,,0.0,40.0,17.0,4.0,0.0,0.0,,0.0,0.0,,
E. Bailly,28,187 cm,77 kg,Goalkeeper,36.0,3240.0,0.0,1.0,,,16.0,13.0,,,16.0,959.0,1.0,3.0,,,66.0,28.0,4.0,1.0,3.0,0.0,0.0,,0.0,0.0,,1.0
Richarlison,25,184 cm,83 kg,Midfielder,30.0,2396.0,1.0,,16.0,7.0,298.0,145.0,31.0,25.0,298.0,1806.0,25.0,81.0,9.0,45.0,,0.0,30.0,45.0,5.0,0.0,0.0,,0.0,0.0,,
L. Campana,22,187 cm,79 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
C. Benteke,32,190 cm,83 kg,Attacker,30.0,2363.0,6.0,9.0,48.0,24.0,313.0,130.0,110.0,56.0,313.0,876.0,64.0,34.0,1.0,29.0,,0.0,31.0,13.0,3.0,0.0,0.0,,0.0,0.0,,
A. Zambo Anguissa,27,184 cm,78 kg,Midfielder,18.0,949.0,1.0,1.0,12.0,6.0,149.0,70.0,20.0,8.0,149.0,570.0,15.0,28.0,1.0,7.0,,0.0,20.0,19.0,5.0,0.0,0.0,,0.0,0.0,,
A. Mac Allister,24,176 cm,72 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
C. Fuchs,36,187 cm,89 kg,Midfielder,34.0,2437.0,4.0,1.0,22.0,15.0,279.0,135.0,73.0,39.0,279.0,850.0,31.0,49.0,4.0,25.0,,0.0,39.0,18.0,3.0,0.0,0.0,,0.0,0.0,,
D. Yedlin,29,172 cm,75 kg,Midfielder,15.0,897.0,1.0,,3.0,2.0,96.0,38.0,16.0,8.0,96.0,434.0,11.0,17.0,1.0,8.0,,0.0,6.0,20.0,2.0,0.0,0.0,,0.0,0.0,,
C. Wood,31,191 cm,81 kg,Midfielder,5.0,116.0,0.0,,3.0,,15.0,4.0,5.0,3.0,15.0,36.0,1.0,,,,,0.0,1.0,3.0,0.0,0.0,0.0,,0.0,0.0,,
K. Gibbs,33,179 cm,70 kg,Midfielder,16.0,417.0,0.0,2.0,9.0,3.0,36.0,21.0,11.0,10.0,36.0,378.0,6.0,5.0,,,,0.0,6.0,1.0,1.0,0.0,0.0,,0.0,0.0,,
Douglas Luiz,24,175 cm,66 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
W. Reid,34,190 cm,87 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Gabriel Martinelli,21,178 cm,75 kg,Midfielder,14.0,552.0,0.0,2.0,6.0,,54.0,21.0,9.0,6.0,54.0,399.0,19.0,7.0,,2.0,,0.0,6.0,11.0,2.0,0.0,0.0,,0.0,0.0,,
T. Francois,22,170 cm,60 kg,Defender,6.0,380.0,0.0,,2.0,,27.0,13.0,,,27.0,339.0,1.0,8.0,1.0,4.0,,0.0,2.0,4.0,0.0,0.0,0.0,,0.0,0.0,,
I. Vassilev,21,175 cm,72 kg,Midfielder,25.0,1614.0,0.0,3.0,9.0,2.0,188.0,95.0,38.0,26.0,188.0,1272.0,27.0,37.0,6.0,35.0,,0.0,24.0,23.0,4.0,0.0,0.0,,0.0,0.0,,
N. Nkounkou,22,180 cm,,Defender,12.0,915.0,0.0,,1.0,,64.0,37.0,4.0,4.0,64.0,562.0,,5.0,11.0,13.0,,0.0,4.0,10.0,3.0,0.0,0.0,,0.0,0.0,,
A. Diallo,20,173 cm,72 kg,Attacker,34.0,2872.0,7.0,3.0,60.0,32.0,459.0,223.0,102.0,61.0,459.0,748.0,25.0,50.0,3.0,15.0,,0.0,73.0,33.0,4.0,0.0,1.0,,1.0,0.0,,
T. Partey,29,185 cm,77 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
N. Keïta,27,172 cm,64 kg,Attacker,30.0,1818.0,10.0,1.0,61.0,34.0,487.0,255.0,27.0,16.0,487.0,576.0,15.0,15.0,6.0,4.0,,0.0,20.0,35.0,2.0,1.0,0.0,,0.0,0.0,,
S. Mané,30,175 cm,69 kg,Midfielder,36.0,2587.0,0.0,3.0,24.0,9.0,485.0,264.0,143.0,96.0,485.0,1416.0,27.0,78.0,6.0,56.0,,0.0,27.0,44.0,6.0,0.0,0.0,,0.0,0.0,,
H. Ziyech,29,180 cm,65 kg,Midfielder,21.0,1116.0,1.0,1.0,11.0,3.0,154.0,64.0,26.0,16.0,154.0,396.0,16.0,26.0,4.0,9.0,,0.0,15.0,19.0,1.0,0.0,0.0,,0.0,0.0,,
B. Traoré,27,181 cm,73 kg,Defender,9.0,702.0,0.0,,2.0,,79.0,42.0,2.0,,79.0,522.0,1.0,18.0,4.0,15.0,,0.0,5.0,14.0,4.0,0.0,0.0,,0.0,0.0,,
G. Bale,33,185 cm,81 kg,Defender,6.0,437.0,0.0,,1.0,,31.0,18.0,2.0,1.0,31.0,135.0,3.0,9.0,1.0,7.0,,0.0,4.0,4.0,0.0,0.0,0.0,,0.0,0.0,,
R. Saïss,32,190 cm,80 kg,Attacker,33.0,2750.0,12.0,3.0,56.0,39.0,488.0,194.0,21.0,7.0,488.0,653.0,22.0,12.0,3.0,1.0,,0.0,22.0,38.0,0.0,0.0,0.0,,2.0,0.0,,
O. Aina,26,184 cm,82 kg,Defender,10.0,809.0,0.0,,1.0,,53.0,28.0,2.0,2.0,53.0,264.0,4.0,15.0,6.0,16.0,,0.0,2.0,6.0,1.0,0.0,1.0,,0.0,0.0,,
É. Mendy,30,197 cm,86 kg,Midfielder,33.0,2790.0,0.0,2.0,20.0,8.0,324.0,161.0,31.0,22.0,324.0,1417.0,19.0,49.0,17.0,43.0,,0.0,48.0,59.0,9.0,1.0,0.0,,0.0,0.0,,
C. Kouyaté,33,189 cm,83 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
D. Amartey,28,186 cm,79 kg,Attacker,14.0,588.0,2.0,1.0,17.0,8.0,78.0,31.0,25.0,13.0,78.0,144.0,9.0,7.0,,8.0,,0.0,4.0,9.0,0.0,0.0,0.0,,0.0,0.0,,
J. Ayew,31,182 cm,80 kg,Midfielder,1.0,14.0,0.0,,,,2.0,,1.0,,2.0,13.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
I. Ndiaye,22,,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
A. Lookman,25,174 cm,71 kg,Defender,2.0,81.0,0.0,,1.0,,15.0,6.0,4.0,2.0,15.0,28.0,,4.0,,,,0.0,,1.0,1.0,0.0,0.0,,0.0,0.0,,
N. Mendy,30,167 cm,73 kg,Attacker,3.0,167.0,0.0,1.0,1.0,1.0,31.0,13.0,14.0,5.0,31.0,63.0,2.0,3.0,1.0,,,0.0,4.0,2.0,0.0,0.0,0.0,,0.0,0.0,,
W. Ndidi,26,183 cm,74 kg,Midfielder,24.0,1535.0,0.0,2.0,19.0,4.0,194.0,111.0,34.0,27.0,194.0,1137.0,12.0,44.0,5.0,23.0,,0.0,17.0,18.0,5.0,0.0,0.0,,0.0,0.0,,
D. Odoi,34,178 cm,67 kg,Midfielder,10.0,524.0,0.0,,3.0,2.0,67.0,25.0,10.0,8.0,67.0,356.0,6.0,11.0,,9.0,,0.0,2.0,13.0,1.0,0.0,0.0,,0.0,0.0,,
J. Bond,29,196 cm,85 kg,Attacker,35.0,2812.0,11.0,7.0,71.0,36.0,498.0,243.0,144.0,82.0,498.0,1006.0,60.0,48.0,,15.0,,0.0,78.0,53.0,3.0,0.0,0.0,,0.0,0.0,,
M. Salisu,23,191 cm,82 kg,Midfielder,23.0,1179.0,2.0,3.0,19.0,13.0,136.0,53.0,35.0,19.0,136.0,666.0,34.0,14.0,1.0,10.0,,0.0,15.0,19.0,3.0,0.0,0.0,,0.0,0.0,,
T. Lamptey,22,163 cm,55 kg,Attacker,36.0,2334.0,7.0,6.0,43.0,23.0,302.0,150.0,97.0,52.0,302.0,701.0,35.0,26.0,1.0,15.0,,0.0,40.0,31.0,1.0,0.0,0.0,,0.0,0.0,,
S. Aurier,30,176 cm,76 kg,Attacker,20.0,921.0,11.0,2.0,32.0,19.0,132.0,76.0,49.0,27.0,132.0,366.0,21.0,17.0,2.0,8.0,,0.0,9.0,9.0,1.0,0.0,0.0,,0.0,0.0,,
R. Mahrez,31,179 cm,67 kg,Defender,27.0,2408.0,3.0,,25.0,11.0,236.0,126.0,15.0,9.0,236.0,1428.0,5.0,35.0,13.0,52.0,,0.0,11.0,29.0,2.0,0.0,0.0,,0.0,0.0,,
I. Slimani,34,188 cm,83 kg,Defender,31.0,2671.0,2.0,1.0,11.0,4.0,225.0,114.0,33.0,21.0,225.0,1462.0,15.0,37.0,6.0,45.0,,0.0,25.0,32.0,3.0,0.0,0.0,,0.0,0.0,,
A. Iwobi,26,180 cm,75 kg,Goalkeeper,31.0,2746.0,0.0,,,,10.0,6.0,,,10.0,899.0,,,,1.0,57.0,25.0,2.0,1.0,2.0,0.0,0.0,,0.0,0.0,,1.0
M. Djenepo,24,177 cm,65 kg,Midfielder,36.0,3122.0,1.0,,5.0,2.0,283.0,165.0,12.0,10.0,283.0,1279.0,8.0,58.0,26.0,32.0,,0.0,15.0,36.0,4.0,0.0,0.0,,0.0,0.0,,
F. Balbuena,31,188 cm,82 kg,Defender,12.0,720.0,1.0,,2.0,1.0,60.0,32.0,3.0,1.0,60.0,454.0,,11.0,4.0,12.0,,0.0,1.0,3.0,3.0,0.0,0.0,,0.0,0.0,,
Trézéguet,28,180 cm,71 kg,Attacker,33.0,2097.0,1.0,3.0,14.0,11.0,445.0,182.0,89.0,52.0,445.0,631.0,13.0,38.0,2.0,16.0,,0.0,63.0,45.0,4.0,0.0,0.0,,0.0,0.0,,
K. Ịheanachọ,26,185 cm,82 kg,Midfielder,1.0,11.0,0.0,,,,1.0,1.0,,,1.0,3.0,,1.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
J. Gbamin,27,186 cm,83 kg,Midfielder,34.0,2756.0,4.0,4.0,47.0,23.0,399.0,183.0,128.0,82.0,399.0,1049.0,62.0,35.0,1.0,20.0,,0.0,59.0,46.0,5.0,0.0,0.0,,0.0,1.0,,
J. Seri,31,168 cm,69 kg,Midfielder,23.0,1457.0,0.0,1.0,3.0,2.0,134.0,69.0,12.0,6.0,134.0,973.0,5.0,26.0,1.0,14.0,,0.0,29.0,21.0,5.0,0.0,0.0,,0.0,0.0,,
N. Pépé,27,183 cm,73 kg,Midfielder,26.0,2179.0,1.0,4.0,13.0,1.0,333.0,184.0,30.0,16.0,333.0,1431.0,16.0,96.0,11.0,61.0,,0.0,16.0,54.0,6.0,0.0,0.0,,0.0,0.0,,
W. Zaha,30,180 cm,66 kg,Defender,3.0,270.0,0.0,,2.0,1.0,31.0,14.0,1.0,1.0,31.0,168.0,1.0,3.0,1.0,5.0,,0.0,4.0,7.0,1.0,0.0,0.0,,0.0,0.0,,
Odion Jude Ighalo,33,188 cm,73 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Y. Valery,23,180 cm,85 kg,Defender,12.0,841.0,0.0,,4.0,1.0,121.0,72.0,12.0,9.0,121.0,360.0,2.0,38.0,5.0,17.0,,0.0,4.0,10.0,1.0,0.0,0.0,,0.0,0.0,,
Y. Bissouma,26,182 cm,80 kg,Defender,11.0,891.0,1.0,1.0,3.0,2.0,124.0,63.0,29.0,13.0,124.0,374.0,10.0,17.0,1.0,19.0,,0.0,28.0,21.0,3.0,1.0,0.0,,0.0,0.0,,
Ahmed Elsayed Ali Elsayed Hegazy,31,193 cm,83 kg,Defender,19.0,1609.0,2.0,3.0,14.0,6.0,238.0,123.0,32.0,17.0,238.0,792.0,18.0,55.0,5.0,19.0,,0.0,15.0,23.0,0.0,0.0,0.0,,0.0,0.0,,
Matheus Fellipe Costa Pereira,26,175 cm,66 kg,Attacker,27.0,1955.0,9.0,6.0,42.0,22.0,225.0,110.0,80.0,45.0,225.0,1004.0,46.0,20.0,,8.0,,0.0,30.0,13.0,0.0,0.0,0.0,,0.0,0.0,,
Aboubakar Kamara,27,177 cm,76 kg,Attacker,1.0,19.0,0.0,,1.0,,3.0,2.0,,,3.0,9.0,1.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
H. Mejbri,19,177 cm,,Attacker,30.0,1541.0,1.0,2.0,7.0,3.0,169.0,87.0,71.0,45.0,169.0,595.0,17.0,27.0,1.0,16.0,,0.0,12.0,13.0,0.0,0.0,0.0,,0.0,0.0,,
Toby King,20,,,Midfielder,27.0,1239.0,1.0,,10.0,2.0,264.0,129.0,52.0,27.0,264.0,382.0,6.0,52.0,2.0,10.0,,0.0,39.0,29.0,5.0,0.0,0.0,,0.0,0.0,,
A. Whiteman,24,189 cm,84 kg,Defender,14.0,1198.0,1.0,,7.0,2.0,88.0,49.0,2.0,1.0,88.0,482.0,,24.0,6.0,25.0,,0.0,3.0,12.0,1.0,0.0,1.0,,0.0,0.0,,
Y. Muto,30,179 cm,72 kg,Midfielder,21.0,1166.0,2.0,1.0,26.0,12.0,239.0,97.0,32.0,17.0,239.0,287.0,13.0,33.0,1.0,19.0,,0.0,19.0,39.0,0.0,0.0,0.0,,0.0,0.0,,
